Sr.No,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
110,07 October 2015,Scandid,Product Discovery & comparison App,Pune,Micromax Informatics,Private Equity,N/A,Strategic Funding
111,07 October 2015,StalkBuyLove,Online Apparels Fashion brand,New Delhi,"Mato Peric, Peter Kabel & others",Private Equity,N/A,Series A
112,08 October 2015,ZuperMeal,Home Cooked Food marketplace & Delivery,Mumbai,"Sanjeev Kapoor,  Ravi Saxena & Others",Private Equity,"20,00,000",Series A
113,08 October 2015,Cube26,Gesture based Mobile Development,New Delhi,"Tiger Global Management, Flipkart",Private Equity,"77,00,000",Series A
114,08 October 2015,Mobikon,Hotel Mobile CRM Software platform,Pune / Singapore,"Life.SREDA, Qualgro",Private Equity,N/A,Series B
115,08 October 2015,Grabhouse,Rental Accommodation Search platform,Bangalore,Sequoia and Kalaari Capital.,Private Equity,"1,00,00,000",Series B
116,08 October 2015,Quifers,Logistics Tech Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,"3,10,000",
117,09 October 2015,Stockroom.io,Developer Portfolio Showcase platform,Hyderabad,Undisclosed Investors,Seed Funding,"70,000",
118,09 October 2015,Curofy,Doctors Network Mobile App,New Delhi,RoundGlass Partners,Private Equity,N/A,Pre-Series A
119,09 October 2015,Cloud Lending,End-to-End Lending platform,Bangalore / San Mateo,SF Capital Group,Private Equity,"80,00,000",Series A
120,09 October 2015,Inayo,on-demand healthcare marketplace,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,"3,00,000",
121,09 October 2015,WoNoBo,360-degree view creating platform,Bangalore,Quikr,Private Equity,N/A,Strategic Funding
122,09 October 2015,Kulzy,Advertising & Marketing Community Networking platform,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,"10,00,000",
123,09 October 2015,Zeppery,Food Ordering & Delivery App,New Delhi,Suyash Sharma,Seed Funding,"77,000",
124,12 October 2015,Zify,Ride Sharing platform,Hyderabad,Sean O’Sullivan & Others,Seed Funding,"1,90,000",
125,12 October 2015,Faircent,Online P2P lending marketplace,Gurgaon,Aarin Capital Partners,Private Equity,N/A,Series A
126,12 October 2015,Bizongo,B2B marketplace for industrial goods,Mumbai,Accel Partners,Seed Funding,N/A,
127,12 October 2015,Gridle,Cloud Based Collaboration platform,Ahmedabad,LetsVenture,Seed Funding,"1,00,000",
128,12 October 2015,Tripoto,global community for travellers,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,N/A,Series A
129,12 October 2015,Mubble,Prepaid Bill manager App,Bangalore,Accel Partners,Private Equity,N/A,Series A
130,13 October 2015,Voodoo,Mobile Only Shopping Assistant,New Delhi,SAIF Partners,Seed Funding,"10,00,000",
131,13 October 2015,Lookup,Mobile Messaging Assistant App,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,"25,00,000",Series A
132,14 October 2015,AskMyGift,Personalized Wish List creator app,Noida,Turning Ideas,Seed Funding,"50,000",
133,14 October 2015,Gaana.com,Music Streaming mobile app,Mumbai,Micromax Informatics Ltd,Private Equity,N/A,Strategic Funding
134,14 October 2015,Zappfresh,Raw Meat & Ready to eat food etailer,Gurgaon,Undisclosed Investors,Seed Funding,"77,000",
135,14 October 2015,GymTrekker,Gym Discovery platform,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,N/A,
136,15 October 2015,Bounty App,Online Purchase rewards app,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,N/A,
137,16 October 2015,Homers.in,Home rental platform,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,N/A,
138,16 October 2015,mShipper,Crowdsourced Delivery platform,New Delhi,Vijai Laxmi,Seed Funding,N/A,
139,16 October 2015,BolRealty,Real Estate Insights platform,New Delhi,Manpreet Singh,Seed Funding,N/A,
140,17 October 2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,Mumbai,Parampara Capital,Private Equity,"10,00,000",Series A
141,19 October 2015,LetsVenture,Startup Funding Marketplace,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,N/A,Series A
142,19 October 2015,Citrus Payment,Payments Solution platform,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,"2,50,00,000",Series C
143,19 October 2015,Holidify,Travel Destination Discovery platform,New Delhi,Aarti Group,Seed Funding,"1,00,000",
144,20 October 2015,PrimaSeller,Order Fulfillment SAAS platform,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,N/A,
145,20 October 2015,Opinio,Last Mile Delivery Service,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,"70,00,000",Series A
146,20 October 2015,Attune Technologies,Healthcare IT Solutions & services,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,"1,00,00,000",Series B
147,20 October 2015,iChef.in,Gourmet Meals Delivery,Mumbai,Springboard Ventures,Private Equity,N/A,
148,21 October 2015,Jiyo Natural,Healthy Meals Food delivery platform,Bangalore,Indian Angel Network,Seed Funding,N/A,
149,21 October 2015,AgentDesks,Real Estate Mobile CRM,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,"29,50,000",
150,21 October 2015,White Owl Brewery,Micro-Brewery,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,"15,30,000",Series A
151,21 October 2015,MealHopper,Home Made Food Marketplace,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,"1,00,000",
152,21 October 2015,Zenify.in,residential rental management platform,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,"6,40,000",
153,21 October 2015,Stockal,Personalized Stock Intelligence Platform,Bangalore,"R Natarajan, Mohan Alexander",Seed Funding,N/A,
154,23 October 2015,Medd,Personal Diagnostic Mobile App,Mumbai,Group of Angel investors,Seed Funding,"1,50,000",Bridge Round
155,23 October 2015,Leaping Caravan,Online food ordering & Delivery service,Gurgaon,Group of Angel investors,Seed Funding,"1,50,000",
156,23 October 2015,Frsh,Online food ordering & Delivery service,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,"10,00,000",Bridge Round
157,23 October 2015,Qik Stay,Hotel Aggregator & booking platform,New Delhi,ID Enablers Pvt Ltd,Seed Funding,"2,50,000",
158,26 October 2015,Parcelled,Online Logistics Platform,Bangalore,Delhivery,Private Equity,"50,00,000",
159,26 October 2015,AlmaMapper,Online Student & Campus Social Networking platform,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,"4,00,000",
160,26 October 2015,Flexing It,Professionals & Project Search Marketplace,New Delhi,undisclosed private investors,Seed Funding,"5,00,000",
161,26 October 2015,Netmeds.com,Online Pharmacy,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,"5,00,00,000",Series A
162,26 October 2015,Razorpay,Online Payment Gateway,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,"90,00,000",Series A
163,27 October 2015,Jombay,Psychometric Test Online Software,Pune,Ventureworks India,Private Equity,N/A,
164,27 October 2015,Happitoo,Location based Nightlife recommendation  Platform,Mumbai,Unnamed investor,Seed Funding,"77,000",
165,27 October 2015,Care24,Professional Health Services Platform,Mumbai,India Quotient,Seed Funding,"3,50,000",
166,27 October 2015,Roadrunnr,Hyperlocal Logistics Service,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,"1,00,00,000",Series B
167,27 October 2015,Simpli5d,Online user engagement platform,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,N/A,Bridge Funding
168,28 October 2015,ORIGA Leasing,Asset Financing platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,"11,00,000",
169,28 October 2015,Smartivity.in,Virtual Reality activity based learning platform,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,"2,00,000",
170,28 October 2015,UrDoorStep,Online Grocery Store,Bangalore,Jupiter Capital,Private Equity,N/A,Series A
171,29 October 2015,Tavaga,Investment management platform,Mumbai,Tracxn Syndicate,Seed Funding,N/A,
172,29 October 2015,Moglix,Industrial Toons Marketplace,Noida,"Accel Partner, Jungle Ventures",Private Equity,N/A,pre-Series A
173,29 October 2015,ZopHop,Public Commute helper App,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,"4,50,000",
174,30 October 2015,Niki.ai,Artificial Intelligence Ecommerce Chatbot,Bangalore,Unilazer Ventures,Seed Funding,N/A,
175,30 October 2015,Instavans,Truck Aggregator & Logistics service,Bangalore,Suresh Vaswani,Seed Funding,N/A,
176,30 October 2015,LiftO,Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,"1,30,000",
177,30 October 2015,TinyOwl,Food Discovery & Delivery Mobile app,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,"75,00,000",Series B
178,30 October 2015,Toppr.com,Competitive exam learning platform,Mumbai,InnoVen Capital,Private Equity,"20,00,000",Series C
179,30 October 2015,Kleeto,Document Digitization platform,Gurgaon,GREX,Seed Funding,"2,30,000",pre-Series A
180,30 October 2015,BeaconsTalk,proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia & others,Seed Funding,"80,000",
181,31 October 2015,Jugnoo,Autorickshaw Aggregator & Booking platform,Chandigarh,Paytm,Private Equity,"1,00,00,000",Series B
182,02 November 2015,Twigly,Online Food Ordering & Delivery platform,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,"2,00,000",
183,02 November 2015,CityFlo,Bus Aggregation and rental mobile app,Mumbai,IDG Ventures,Seed Funding,"7,50,000",
184,03 November 2015,Findyahan,hyperlocal online Services platform,Noida,Times Group Brand Capital,Private Equity,N/A,Bridge funding
185,03 November 2015,Sabse,WiFi – first Cloud communication platform,Mumbai,Ratan Tata,Private Equity,N/A,N/A
186,03 November 2015,Pokkt,Alternate Mobile Monetization platform,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel’s Innov8, Jungle Ventures, K Ganesh",Private Equity,"50,00,000",Series B
187,03 November 2015,boibanit,Online Food Ordering Marketplace,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,"1,50,000",
188,03 November 2015,Stuffed,Quick Service Restaurant & Online Delivery,Mumbai,Riqueza Capital,Seed Funding,"3,85,000",Funding happened in Sept 2015
189,03 November 2015,LoanBaba,Online Loans Marketplace,Mumbai,N/A,Seed Funding,"3,20,000",
190,03 November 2015,Deyor Rooms,Budget Hotels Aggregator,New Delhi,Dheeraj Jain & Others,Seed Funding,"5,00,000",
191,03 November 2015,Bidgely,Efficient Energy Management platform,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,"1,66,00,000",Series B
192,04 November 2015,Shirsa Labs,Digital Intelligent learning platform,Mumbai,ah! Ventures,Seed Funding,"2,50,000",
193,04 November 2015,Paytunes,Voice Call incentivization mobile app,New Delhi,CIO Angel Network,Seed Funding,N/A,
194,04 November 2015,YourDOST,Online Counselling and psychological support platform,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,"4,00,000",
195,05 November 2015,BookMyBai,Domestic Help Aggregation platform,Mumbai,Vineel Nalla & Others,Seed Funding,"1,50,000",
196,05 November 2015,MyIndianStay,Home Stay & room rentals platform,Goa,Undisclosed investors,Seed Funding,"2,00,000",
197,05 November 2015,Bobble,Selfie Mobile App,New Delhi,SAIF Partners & others,Private Equity,N/A,Series A
198,06 November 2015,RepUp,Online Reputation Management Platform,Gurgaon,Indian Angel Network,Seed Funding,N/A,
199,06 November 2015,Satvacart,Online Grocery platform,Gurgaon,Undisclosed HNIs,Private Equity,"18,00,000",Pre-Series A Bridge
200,06 November 2015,POPxo.com,Online content platform for women,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,"20,00,000",Series A
201,06 November 2015,SparesHub,Online Vehicle Spare Parts etailer,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,"4,60,000",Pre-Series A
202,06 November 2015,Explara,Event Ticketing platform,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,"4,90,000",Pre-Series A
